Código,Codel old,Descripción,Unidad de Medida,Cuenta contable,Estado
30294,,"CINTA PARA IMPRESORA TERMICA; MODELO DE IMPRESORA RIBBON; TIPO RESINA PARA CASCARA DE HUEVO; MEDIDA 2,5PLG DE ANCHO X 74MTS DE LARGO; COLOR NEGRO.",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30295,,BANDERILLAS POST-IT; MEDIDA .25.4 X 43.2 ml.; COLOR SURTIDO; PRESENTACION POR PIEZA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30296,,CABLE HDMI; TIPO AUDIO Y VIDEO; PRESENTACION METRO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
30297,,DISCO DURO; ESPECIFICACIONES TECNICAS INTERNO 480 GB,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
331001,,"PITA DE AMARRE, MATERIAL ALGODON",OVILLO,"HILADOS, TELAS, FIBRAS Y ALGODON",ACTIVO
331002,,PITA DE AMARRE 100 GR,PIEZA,"HILADOS, TELAS, FIBRAS Y ALGODON",ACTIVO
332001,,"BANDERA DE SALON FONDO BOLIVIA CON FORRO, MEDIDAS 1.20 X 1.90 MTS., CON ESCUDO BORDADO, INCLUYE MASTIL Y BANDERA.",PIEZA,CONFECCIONES TEXTILES ,ACTIVO
332002,,"BANDERA WIPHALA DE SALON CON FORRO, MEDIDAS 1.50 X 1.50 MTS., INCLUYE MASTIL Y BASE.",PIEZA,CONFECCIONES TEXTILES ,ACTIVO
332003,,BOLSA DE YUTE COLOR AZUL,PIEZA,CONFECCIONES TEXTILES ,ACTIVO
334002,,BOTIN DE TRABAJO; COLOR CAFE; INTERIOR FRIZADO; MATERIAL CUERO; SUELA POLIURETANO COMPACTO; TALLA VARIADA; PLANTILLA CON; SIN PUNTERA DE ACERO,PAR,CALZADOS,ACTIVO
334003,,BOTAS DE GOMA; ACCESORIO SIN; COLOR A ELECCION; NUMERO VARIADOS; USO DE SEGURIDAD; PUNTERA NORMAL; CAÑA ALTA,PAR,CALZADOS,ACTIVO
334004,,PROTECTOR AUDITIVO; MATERIAL GOMA BLANDA; PRESENTACION CAJA PLASTICA; COLOR AZUL; ACCESORIO NO; ,PIEZA,PRODUCTOS DE CUERO Y CAUCHO,ACTIVO
334005,,BOTIN DE TRABAJO; COLOR CAFE; INTERIOR FRIZADO; MATERIAL CUERO; SUELA GOMA; TALLA 40; PLANTILLA CUERO; CON PUNTERA DE ACERO,PAR,CALZADOS,ACTIVO
341101,,GASOLINA ESPECIAL ,LITROS,"COMBUSTIBLES, LUBRICANTES Y DERIVADOS PARA CONSUMO",ACTIVO
346001,,CHAPA DE SOBREPONER TRAVEX,PIEZA,PRODUCTOS METALICOS,ACTIVO
346002,,CHAPA DE ESTACIÓN DE TRABAJO GABETERO,PIEZA,PRODUCTOS METALICOS,ACTIVO
346003,,ESPEJO CON MARCO DELGADO,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
348001,,MARTILLO; AGARRE COMPUESTO PVC ESPUMOSO; MATERIAL DEL MANGO ACERO; PESO CABEZA 100 GR,PIEZA,HERRAMIENTAS MENORES,ACTIVO
394001,,BARBIJO; TIPO CIRUJIA; MATERIAL DESCARTABLE; CAJA DE 50 UNIDADES,CAJA,INSTRUMENTAL MENOR MEDICO - QUIRURGICO,ACTIVO
32100285,,"SOBRE DE PAPEL COLOR BLANCO, TAMAÑO ESQUELA ",PIEZA,PAPEL,ACTIVO
32100286,,"CARTULINA HILADA, TAMAÑO CARTA, COLOR CREMA ",HOJA,PAPEL,ACTIVO
32100287,,PAPEL KRAFT; 1256R; 102 X 160CM,LAMINA,PAPEL,ACTIVO
32100288,,"CARTULINA HILADA, TAMAÑO OFICIO, COLOR CREMA",PIEZA,PAPEL,ACTIVO
32200271,,"CAJA HERMETICA FUNCIONAL DE CARTON, PARA EL ARCHIVO, 40 CM. DE LARGO X 26 CM DE ANCHO X 16.5 CM. DE ALTO",PIEZA,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
33300215,,"PARKA; TIPO DE TELA IMPERMEABLE; TALLA VARIAS; ACCESORIOS GORRA, COLOR AZUL MARINO, 1 CAPA DE FIBRA MICROPOLAR, TRIPLE COSTURA REFORZADA, 5 BOLSILLOS, LOGOTIPO INSTITUCIONAL",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300216,,"CHALECO; MATERIAL TRABAJO; KAKI 1RA; COLOR PLOMO, 1 CAPA DE FIBRA MICROPOLAR COLOR ROJO, CUELLO ALTO, CON TAPA CIERRE Y 3 BOTONES A PRESION, CINTA REFLECTIVA 3M DE 2 PULGADAS ES ESPALDA Y PECHO, 6 BOLSILLOS, LOGOTIPO INSITUCIONAL SERIGRAFIADO",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300217,,"GUANTES DE TRABAJO; MATERIAL GOMA ENFRISADO POR DENTRO; TALLA ESTANDAR; CAÑA CORTA, NITRILO LAVABLE, RESISTENCIA A MATERIALES ABRASIVOS, CORTE Y PERFORACION, PROTECCION CONTRA CHISPAS",PAR,PRENDAS DE VESTIR,ACTIVO
33300218,,"CINTURON DE SEGURIDAD; MATERIAL CUERO; CON PASADORES DE CUERO, UNA ARGOLLA DE ACERO, CONFECCIONADO CON SOTURAS DE HILO DE CONTRASTE PARA UNA APROPIADA MANTENCION",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300219,,"CHALECO; MATERIAL TASLAM, COLOR AZUL CON BEIGE, FORRO INTERIOR DE TELA MICROPOLAR COLOR PLOMO MARENGO, TRIPLE Y DOBRE COSTURA REFORZADA, CIERRE DE PLASTICO DE PRIMERA CALIDAD, AJUSTE LATERAL REGULABLE, 8 BOLSILLOS,",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300220,,"RESPIRADOR; MATERIAL PLASTICO; N° DE FILTROS 2 PARA GASES QUIMICOS ORGANICOS E INORGANICOS; PROTECTOR RESPIRATORIO DE DOBLE VIA, VALVULA COOL FLOW, ARNES DE BANDAS ELASTICA",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300221,,"GUANTES DE TRABAJO; MATERIAL ALGODON - HULE; TALLA ESTANDAR; FORRO INTERIOR SIN COSTURA Y TRANSPIRABLE, PROTECCION CONTRA RIESGO MEDIO DE CORTES",PAR,PRENDAS DE VESTIR,ACTIVO
33300222,,"GUARDAPOLVO; DESTINO VARON; TELA KAKI DE PRIMERA, COLOR AZUL MARINO, CONTRES BOLSILLOS, COSTURAS DE SEGURIDAD",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300223,,"CHALECO; MATERIAL TELA KAQUI; FORRO MICROPOLAR, COSTURAS DE SEGURIDAD CON ATRAQUES, COLOR AZUL MARINO",PIEZA,PRENDAS DE VESTIR,ACTIVO
33300224,,GUANTES DE TRABAJO; MATERIAL CUERO; TALLA GRANDE,PAR,PRENDAS DE VESTIR,ACTIVO
33300225,,"OVEROL; TIPO DE PILOTO; TELA KAKI DE PRIMERA CALIDAD, COLOR AZUL MARINO, CINTA REFLECTIVA DE 1 PULGADA EN ESPALDA Y PECHO, 8 BOLSILLOS, CIEERE METALICO DE PRIMERA CALIDAD, LOGOTIPO INSTITUCIONAL SUBLIMADO",PIEZA,PRENDAS DE VESTIR,ACTIVO
34200138,,PINTURA SPRAY COBRE METALICO 006,PIEZA,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
34200139,,PINTURA SPRAY GOLD PAINT METALICO 2595,PIEZA,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
34200140,,PINTURA SPRAY BRIGHT CHORME METALICO 318,PIEZA,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
34200141,,POLVO QUIMICO ABC PARA EXTINTORES,KG,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
34200142,,POLVO QUIMICO ABC PARA EXTINTORES,KG,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
34200143,,SILICONA EN TUBO,PIEZA,OTROS MATERIALES Y SUMINISTROS,ACTIVO
34500286,,CASCO DE SEGURIDAD; CLASE PERSONAL; COLOR A ELECCION; MATERIAL FIBRA DE VIDRIO,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
34500287,,"PORTA CREDENCIAL PLASTICO DURO, TRANSPARENTE, TIPO SOBRE",PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
34500288,,"TARJETAS DE PVC, COLOR BLANCO PARA IMPRESION TERMICA CR80/,30",PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
34500289,,TARJETAS PVS EN BLANCO ALTO 8.5 ANCHO 5.5,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
34500290,,"PLASTOFORMO; PRESENTACION EN HOJAS 1M X 50CM X 2""",PIEZA,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
39100258,,DESINFECTANTE PARA SANITARIOS; CONTENIDO 5 ltrs.; ENVASE BIDON,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
39100259,,GUANTES PARA LIMPIEZA; MATERIAL LATEX; COLOR CREMA; TAMAÑO LARGO;PRESENTACION CAJA DE 100 UNIDAD,CAJA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
39100260,,FRANELA PARA LIMPIEZA; MEDIDAS 1 X 1 MTS.; PRESENTACION POR METRO,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
39100261,,"GUANTES DE NITRILO COLOR NEGRO, CAJA DE 100 UNIDADES TALLA M",CAJA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
39100262,,DESINFECTANTE EN SPRAY,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
39500298,,"CINTA PARA IMPRESIÓN TERMICA DE TARJETAS PVC, MARCA ZEBRA MODELO: ZC300 CAPACIDAD: 200 IMPRESIONES COLOR + PERLADO YMCPKO",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500299,,SELLO AUTOMATICO FECHADOR REDONDO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500300,,"SELLO AUTOMATICO DE 37 X 76 MM, CON TAMPO ROJO",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500301,,SELLO AUTOMATICO VoBo,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500302,,"FOLDER TAMAÑO OFICIO, MATERIAL CARTULINA, COLOR ROJO",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500303,,	TONER PARA IMPRESORA; MODELO DE IMPRESORA HP LASER JET 4250N; COLOR TINTA NEGRO; SERIE Q5942A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500304,,TONNER PARA IMPRESORA; MODELO DE IMPRESORA LASER JET PRO 400 COLOR M451; COLOR TINTA NEGRO; SERIE C410A,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500305,,TINTA PARA PLUMAFUENTE ,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500306,,SELLO AUTOMATICO FACSIMIL,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500307,,"LANDYARD PERSONALIZADO LONGITUD 1 METRO, ANCHO DE LA CINTA 1,5 CM CON MOSQUETON, SUBLIMADO FULL COLOR ANVERSO Y REVERSO DE LA CINTA",PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500308,,CLIP DE 78 MM; MATERIAL METALICO; PUNTA REDONDA ; CAJA DE 50 UNIDADES,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500309,,ACCS.COMP USB 64GB FLASH,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39500310,,TAMPO PARA SELLOS; MATERIAL PLASTICO; MEDIDA PARA SELLO AUTOMATICO V°B°,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39700297,,CABLE PLANO PARA TELEFONIA; NUMERO DE CONDUCTORES 4; PRESENTACION POR METRO,METRO,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700298,,CABLE PARA ELECTRICIDAD; NUMERO 12; PRESENTACION POR METRO,METRO,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700299,,CABLE UTP; TIPO 4 PARES; CATEGORIA 5; CUBIERTA PVC; PRESENTACION ROLLO 300 MTS.,ROLLO,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700300,,CONECTOR RJ 45; PRESENTACION POR UNIDAD,CAJA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700301,,CABLEDUCTO ELECTRICO; LARGO 2 MTS.; ESPESOR 20 MMS.; ALTO 10 MMS.; MATERIAL PLASTICO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700302,,ENCHUFE; TIPO CLAVIJA; AMPERAJE 15 Amp,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700303,,PILA 2016 PARA LLAVE DE VEHICULO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700304,,TIMBRE INHALAMBRICO SIMPLE ,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700305,,REFLECTOR LED  DE 100W,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700306,,DUCHA DE 4 TEMPERATURAS,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700307,,PILA 1632 PARA LLAVE DE VEHICULO,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700308,,CABLE DE TVAD DE ALTA VELOCIDAD,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39700309,,DICROICO LED DE 50W,PIEZA,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39800169,,"BATERIA RECARGABLE; USO UPS; BATERIA VUELO (MAVIC 2 PRO/ZOOM) CP.MA.00000038.01: 31 MIN DE VUELO: 3850 MAH, 59.29 WH, 15.4 V",PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800170,,REPUESTO Y/O ACCESORIO PARA EQUIPO TOPOGRAFICO; TIPO ADAPTADOR COMPACTO PARA USO TOPOGRAFICO; CONTROL RC1B (MAVIC 2 PRO/ZOOM); OCUSYNC 2.0; DISTANCIA MAXIMA 8KM; 2.4 GHZ Y 5.8 GHZ,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800171,,TARJETA MICROSD DE ALTA CAPACIDAD - MEMORIA SANDISK 512 GB,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800172,,ADAPTADOR DE HDMI,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800173,,TARJETA MICROSD DE ALTA CAPACIDAD - MEMORIA EVOPLUS 256 GB,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800174,,TRIPODE,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800175,,CHAPA DE PUERTA  VIDRIO TEMPLADO,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800176,,CHAPA PEQUEÑA DE VITRINA,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800177,,CANDADO MEDIANO,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800178,,PIEZAS REPUESTOS DE CARRITO DE CARGA,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800179,,CONTROL REMOTO UNIVERSAL PARA TELEVISOR,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39800180,,BATERIA 12V. 75AH LIBRE DE MANTENIMEINTO,PIEZA,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
